iter	RMSE
0	13.77047203
1	13.21968815
2	12.68745483
3	12.18057375
4	11.69172826
5	11.23660376
6	10.8005128
7	10.38419755
8	9.981924936
9	9.618680065
10	9.272593671
11	8.921703884
12	8.594328922
13	8.280158871
14	7.97307672
15	7.697982104
16	7.411313218
17	7.137817436
18	6.891139953
19	6.654850911
20	6.428583141
21	6.211156345
22	6.010713704
23	5.80845985
24	5.615169843
25	5.420991922
26	5.238185872
27	5.068447793
28	4.902657525
29	4.741133779
30	4.588592895
31	4.443364283
32	4.305880404
33	4.171330314
34	4.046107328
35	3.927080318
36	3.821636873
37	3.70126577
38	3.593788684
39	3.476578026
40	3.382861473
41	3.280575844
42	3.19318135
43	3.111213949
44	3.021303052
45	2.936210421
46	2.862887694
47	2.787254766
48	2.715206891
49	2.648668337
50	2.580734544
51	2.52269363
52	2.466111731
53	2.405147168
54	2.358516368
55	2.299330058
56	2.245859301
57	2.192975701
58	2.145150412
59	2.100560019
60	2.063183042
61	2.024150188
62	1.977402636
63	1.942585112
64	1.896759104
65	1.858108878
66	1.823629878
67	1.782259656
68	1.74608133
69	1.708794934
70	1.674300162
71	1.64377294
72	1.612433375
73	1.584326117
74	1.554479204
75	1.526758064
76	1.50185469
77	1.47603082
78	1.453160443
79	1.428478878
80	1.410212468
81	1.39213875
82	1.372984738
83	1.355167071
84	1.339934302
85	1.321987147
86	1.3060415
87	1.285848126
88	1.263666449
89	1.248130714
90	1.230307292
91	1.214982543
92	1.200536294
93	1.18871784
94	1.174270092
95	1.160563895
96	1.147098744
97	1.133741082
98	1.122738377
99	1.110590721
100	1.098102537
101	1.088573204
102	1.077007335
103	1.065459599
104	1.054183646
105	1.047164945
106	1.0369511
107	1.029609009
108	1.021629262
109	1.012329892
110	1.001073689
111	0.9919246109
112	0.9838236596
113	0.9738151256
114	0.9653666784
115	0.9594871447
116	0.9519676351
117	0.9428561947
118	0.9364967686
119	0.9280964992
120	0.9211319285
121	0.9132849767
122	0.9073469439
123	0.8992817788
124	0.894730429
125	0.8883166955
126	0.8810313085
127	0.8751644797
128	0.8693589208
129	0.8617830564
130	0.8565809964
131	0.8505509292
132	0.8448954086
133	0.8397851568
134	0.8353948481
135	0.828517672
136	0.8226673549
137	0.8181351668
138	0.8142530345
139	0.8108880474
140	0.8069882202
141	0.8019778727
142	0.796476162
143	0.7922012018
144	0.7877218603
145	0.7840230302
146	0.78058678
147	0.7774888179
148	0.7748447138
149	0.7723864804
150	0.7688648194
151	0.7656920441
152	0.7609441576
153	0.7582099408
154	0.7555845915
155	0.7496097531
156	0.7441631765
157	0.739670523
158	0.7357773813
159	0.7328215902
160	0.7265287509
161	0.7233189838
162	0.7211904415
163	0.7171362298
164	0.7124057927
165	0.7087385641
166	0.7063469695
167	0.702692404
168	0.6991317405
169	0.6963414658
170	0.6936527227
171	0.6894970832
172	0.6872101069
173	0.6821217991
174	0.6780703452
175	0.6744942848
176	0.6729005513
177	0.6685108038
178	0.6657169057
179	0.6636350179
180	0.6592823919
181	0.6572117086
182	0.6533857455
183	0.6509979661
184	0.6493346802
185	0.6472862212
186	0.6457291761
187	0.6415608796
188	0.6393614848
189	0.6369070036
190	0.634228514
191	0.6329200635
192	0.6301115937
193	0.62614606
194	0.6237226984
195	0.6206980598
196	0.6178728959
197	0.6162396863
198	0.6130278614
199	0.6105668146
200	0.607100761
201	0.6041965991
202	0.6009225624
203	0.5985220147
204	0.5961990741
205	0.593490788
206	0.5917302631
207	0.5894217185
208	0.5878015339
209	0.5848539101
210	0.5837202425
211	0.5812144137
212	0.5786654184
213	0.5750781836
214	0.5728127481
215	0.5707683831
216	0.56978136
217	0.5672363008
218	0.565731313
219	0.5638353296
220	0.5628731818
221	0.5596978136
222	0.5582468634
223	0.5565299136
224	0.5548060358
225	0.5535746936
226	0.5520567626
227	0.5499971062
228	0.5471434468
229	0.5457384626
230	0.5437389158
231	0.5418664188
232	0.5387739447
233	0.5363060594
234	0.5341192614
235	0.5320330397
236	0.5310523265
237	0.5290482233
238	0.5270573383
239	0.5258287039
240	0.5243651994
241	0.5224645387
242	0.5202969622
243	0.5180852411
244	0.5157751587
245	0.5126517553
246	0.5106829198
247	0.5093150254
248	0.507515756
249	0.5052588947
250	0.5036082054
251	0.5017268319
252	0.4996249491
253	0.4989034357
254	0.4976161068
255	0.4963032655
256	0.4948420463
257	0.4924163565
258	0.4914765256
259	0.4908213758
260	0.4884221923
261	0.4864387272
262	0.4847763323
263	0.4840474135
264	0.4823395906
265	0.4800356385
266	0.4782370166
267	0.4768179046
268	0.4750572436
269	0.4732525722
270	0.4714161734
271	0.4696782898
272	0.4684414665
273	0.467515911
274	0.4670667342
275	0.4653011164
276	0.4631160253
277	0.4608743935
278	0.4597650504
279	0.4584050604
280	0.456568571
281	0.4556418332
282	0.454126119
283	0.4531216445
284	0.4510702975
285	0.4492511901
286	0.4484000941
287	0.4472592879
288	0.4451313564
289	0.4433103397
290	0.4424712637
291	0.4409024649
292	0.4403327338
293	0.4389913119
294	0.438430382
295	0.4372478216
296	0.4363128448
297	0.4359487166
298	0.4342599579
299	0.4331504944
